id,prompt,answer,travel_category,Country,City,Landmark,Solo,Couple,Family,Friends,Business,Pilgrimage or heritage,Adventure,Cuisine,Sight Seeing,Nightlife,Shopping,Competitions,Plane,Bus,Car,Train,Walking,Hotel,Hostel,AirBnB,Camping,Villa,Cheap,Affordable,Luxury,Travel Duration,Summer,Winter,Spring,Autumn,Safety Concerns ,
2,"Plan for a three day road trip for May long weekend from Westfield, New Jersey","May 26: Drive to Montreal from Westfield, NJ. Time taken  6 hrs. Stay there overnight
May 27:  have a quick breakfast..checkout and drive to Mount Tremblant. Time: 90 minutes
May 27: Hike Grand Brule ( red path) on the way up and green path on the way down
May 27: Stroll around the Tremblant village
May 28: Drive to Quebec City. Time taken: 4 hrs
May 28: Explore the city, aquarium and go for wildlife watching
May 29: Drive to Montreal. Spend time exploring the city
May 30: Drive back to Westfield, New Jersey",Trip Planning,,,,,,,,,,y,,,,,,,,y,,,,,,,,,,,4 Days,y,,,,,
3,"What is the winter weather like in Salt Lake City, Utah?","Some years, Utah has massive amounts of snow, up to 700 inches at some ski resorts. Other years, Utah has little precipitation. Often temperatures are just below or just above freezing during winter months.",Places & Destinations,,Salt Lake City,,,,,,,,,,,,,,,,,,,,,,,,,,,,,y,,,,
4,What cities should someone visit during a trip to Morocco?,"There are many wonderful cities to visit during a trip to Morocco.  The decision of which cities to visit depends on the traveller's goals and interests because Morocco has something for everyone.  The largest airports are in the cities of Casablanca and Marrakech, so if traveling by air, those are good cities to fly into and out of.  Other cities that are popular among visitors include Fez and Tangier.  Cities along the Atlantic Coast of Morocco are popular for their beaches including Agadir and Essaouira.  The city of Chefchaouen is also very popular among visitors for its blue buildings.",Places & Destinations,Morocco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,"As an expert skier, what are the top resorts in the US to go skiing?","There are many ski resorts in the United States that offer challenging terrain for expert level skiers.  Som of the top resorts are: Big Sky, Jackson Hole, Pallisades, Crested Butte, Telluride, and Silverthorn",Tourist Activities & Experiences,US,,,,,,,,,y,,,,,,,,,,,y,,,,,,,,,,y,,,,
8,I am on a week long vacation to India and specifically want to explore Himalayan state of Himachal Pradesh. How should I plan my trip ?,"Firstly , fly to Delhi or Chandigarh. These cities are well connected via flights from across the world.  Next , take an overnight bus to Manali.  There are ample buses available connecting Manali from any cities.  Spend 4 days of your time  enjoying local cuisine and sight seeing.   Do carry wollens  as temperature drops sub zero during the night. Next , head towards Shimla and spend 2 days here for local sightseeing enjoying marvels of British architectures and old mall road.  Wrap up your trip travelling back to Delhi or Chandigarh. Spend time doing some local shopping before you fly back home.",Trip Planning,India,,Himalayas,,,,,,,,,,,,,,,,,,,,,,,,,,7 Days,,,,,,
10,Best beach vacation in the world,"1. Maldives (Best resorts with All inclusive )
2. Mauritius 
3. Cancun",Places & Destinations,,,Beach,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Where to visit in Brazil?,"It depends what you are looking for. Brazil is known for the amazon forest, carnival and beaches in Rio but there are a lot more to explore.

There are pretty interesting cities, such as São Paulo, Curitiba and Recife. São Paulo has a great mix of culture and gastronomy, the city is vibrant and have bakeries that stay up all night. Curitiba became a leader in urban sustainability and also has a cultural aspect to it.
Recife is a city in the northeastern state of Pernambuco, it has a night life in its old town, Recife antigo and some beaches as well. During the month of February the city has a vibrant carnival celebration, tourists and residents go out to the street to dance and celebrate, where you can see people of all ages.

Besides the cities, Brazil has beautiful warm beaches in its northeastern states. From the Bahia state to Ceára state, there are many paradisiac beaches to visit. Be aware that road tripping in Brazil is not always safe and you need to speak Portuguese since you will find English speakers only in the main hotels and resorts. Stay in the main cities of Salvador, Aracajú, Maceió, Recife, João Pessoa, Natal and Fortaleza to experience the most development and tourist services.",Places & Destinations,Brazil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,What are the top attractions to visit in Cancun?,"Cancun is divided into two areas. Downtown, also known as Ciudad Cancun — and Cancun Island, also known as The Hotel Zone or “Zona Hotelera”. The Hotel Zone is the primary tourist area, synonymous with resorts, catamarans, wild nightlife and beaches. It’s a 15-mile strip of sand shaped like the number seven. This is where most people stay.

As the name implies, there are tons of hotels as well as most of the nightlife and beaches. Restaurants and bars line the only road, Kulkukan Boulevard, which runs from one side of the Hotel Zone to the other.

Apart from the Hotel Zone, the other visiting places are:
1. Any of the All inclusive resorts like XCaret, Hotel Ziva and Grand Sirenis etc.
2. Visit Downtown Cancun to explore local culture and delicious street food
3. Snorkeling or Paragliding near Cancun
4. Exploring amazing Cenotes- Cenotes are natural sinkholes filled with water formed in limestone caves
5. Explore Chichen Itza Maya Ruins -  Chichen Itza Maya Ruins are amazing ancient pyramids dates back to 5th century.
6. Day Trip to Isla Mujeres - Isla Mujeres, which translates to “The Island of Women”, gets its name from the temple of Ixchel, the Maya goddess of fertility. This small island is only 20 minutes from Cancun by ferry from Hotel Zone.Isla Mujeres offers stunning views thanks to its rocky coast and gorgeous bays. It is also the first spot where you can see the sunrise in Mexico. This sleepy fishing village offers a well-deserved pause from the crazy nightlife of Cancun",Places & Destinations,,Cancun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,What to do in Mexico City?,"Mexico City also known as CDMX is the capital of Mexico. It is becoming an attraction to tourists all over the world. The downtown area was built on top of pre-hispanic temples. You can see this by visiting Templo Mayor, which was discovered while doing an excavation for new construction. The main plaza is called Zócalo,  where you can see the Presidential Palace and the cathedral. You can also visit Palacio de Bellas Artes and some museums in this area. 

One of the most popular streets is Paseo de la Reforma, modeled after  Champs-Élysées. And now it is where a lot of modern and tall buildings have been developed. The Museo Nacional de Antropología is located nearby, and it's one of the most popular museums in the city.

Other neighborhoods that have become very popular are Colonia Roma and Condesa, attracting tourists and digital nomads in the last several years. These neighborhoods are well known for the variety of restaurants and nightlife.

Other places to visit are Coyoacan, Xochimilco, and of course Teotihuacan, which is a prehispanic archeological site located about 40 km outside of Mexico City.",Tourist Activities & Experiences,Mexico,Mexico City,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,"What are some of the sight seeing and outdoor activities to do in Portugal, Spain","Day 1: Arrival in Lisbon
- Transfer from the airport to the hotel (8.6 miles/14 km)

Day 2: Lisbon
- Visit to Belém Tower (5.5 miles/9 km)
- Jerónimos Monastery
- St. George's Castle
- Alfama neighborhood 

Day 3: Sintra
- Visit to Pena Palace (18.7 miles/30 km)
- Sintra National Palace
- Cabo da Roca (14.6 miles/23.5 km)

Day 4: Cascais
- Beach day in Cascais (16.8 miles/27 km)
- Visit to Boca do Inferno
- Cascais Marina

Day 5: Óbidos
- Visit to Óbidos Castle (52.8 miles/85 km)
- Walk through the village
- Visit to Alcobaça Monastery (22.8 miles/37 km)

Day 6: Nazaré
- Visit to Nazaré beach (30.7 miles/49.5 km)
- Cable car ride
- Visit to the Chapel of Our Lady of Nazaré

Day 7: Coimbra
- Visit to Coimbra University (68.3 miles/110 km)
- Walk through the historic center
- Visit to the Old Cathedral

Day 8: Aveiro
- Boat ride through the canals of Aveiro (44.7 miles/72 km)
- Visit to the Aveiro Cathedral
- Walk through the Fisherman's Quarter

Day 9: Porto
- Visit to the Ribeira neighborhood (46.6 miles/75 km)
- Climb the Clérigos Tower
- Visit to the São Bento train station
- Tour of the Port wine cellars

Day 10: Departure from Porto
- Transfer from the hotel to the airport (10.4 miles/17 km)",Trip Planning,"{Portugal, Spain}",,,,,,,,,,,y,,,,,,,,,,,,,,,,,,,,,,,
