id,travel_category,Country,City,Landmark,Solo,Couple,Family,Friends,Business,Pilgrimage or heritage,Adventure,Cuisine,Sight Seeing,Nightlife,Shopping,Competitions,Plane,Bus,Car,Train,Walking,Hotel,Hostel,AirBnB,Camping,Villa,Cheap,Affordable,Luxury,Travel Duration,Summer,Winter,Spring,Autumn,Safety Concerns 
2,Trip Planning,,,,,,,,,,y,,,,,,,,y,,,,,,,,,,,4 Days,y,,,,
3,Places & Destinations,,Salt Lake City,,,,,,,,,,,,,,,,,,,,,,,,,,,,,y,,,
4,Places & Destinations,Morocco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Tourist Activities & Experiences,US,,,,,,,,,y,,,,,,,,,,,y,,,,,,,,,,y,,,
8,Trip Planning,India,,Himalayas,,,,,,,,,,,,,,,,,,,,,,,,,,7 Days,,,,,
10,Places & Destinations,,,Beach,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Places & Destinations,Brazil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Places & Destinations,,Cancun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,Tourist Activities & Experiences,Mexico,Mexico City,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,Trip Planning,"{Portugal, Spain}",,,,,,,,,,,y,,,,,,,,,,,,,,,,,,,,,,
19,Transportation,"{US, Croatia}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,Trip Planning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,Tourist Activities & Experiences,,New York,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,Places & Destinations,,,Island,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,Places & Destinations,,Cancun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,Tourist Activities & Experiences,,,,,,,,,,y,,,,,,,,,,,,,,,,,,,,,,,,
31,Accommodation,Switzerland,Zurich,,,,,,,,,,,,,,,,,,,y,,,,,,,y,,,,,,
32,Trip Planning,Europe,,,,,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,Trip Planning,Mexico,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,Accommodation,,,,,,,,,,y,,,,,,,,,,,,,y,,,,,,,,,,,
38,Trip Planning,,Chicago,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,Travel Tips & Advice,,,,,,,,,,y,,,,,,,,,,,,,,y,,,,,,,,,,
40,Trip Planning,India,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,Tourist Activities & Experiences,,,,,,,,,,y,,,,,,,,,,,y,,,,,,,,,,,,,
45,Tourist Activities & Experiences,,,,,,,,,,y,,,,,,,,,,,,,,,,,,,,,,,,
46,Places & Destinations,Bahamas,,Lighthouse,,,,,,,,,y,,,,,,,,,,,,,,,,,,,,,,
48,Trip Planning,Bahamas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,Places & Destinations,Mauritius,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,Accommodation,,Salt Lake City,,,,,,,,,,,,,,,,,,,y,,,,,,,,,,,,,
51,Tourist Activities & Experiences,,,,,,,,,,y,,,,,,,,,,,,,,,,,,,,,,,,
53,Tourist Activities & Experiences,,,,,,,,,,y,,,,,,,,,,,,,,,,,,,,,,,,
56,Places & Destinations,,New York,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,Tourist Activities & Experiences,,Vermont,,,,,,,,y,,,,,,,,,,,,,,,,,,,,,,,,
66,Trip Planning,,,Grand Canyon,,,,y,,,y,,y,,,,,,y,,,,,,,,,y,,7 Days,,,,,
68,Travel Tips & Advice,,,Beach,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,Tourist Activities & Experiences,Hawaii,Maui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,Accommodation,,Munnar,,,,,,,,,,,,,,,,,,,y,,,,,,,,,,,,,
75,Trip Planning,,,Lake Tahoe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,Transportation,,,,,,,,,,,,,,,,,,y,,,,,,,,y,,,,,,,,
79,Accommodation,,Sakleshpur,,,,,,,,,,,,,,,,,,,y,,,,,,,,,,,,,
80,Trip Planning,US,Boston,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,Trip Planning,,Kerala,,,,,,,,y,,,,,,,,y,,,,,,,,,,,,,,,,
87,Places & Destinations,USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,Places & Destinations,UK,Henley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,Tourist Activities & Experiences,,,,,,,,,,,,y,,,,,,,,,,,,,,,,,,,,,,
91,Places & Destinations,India,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,Food & Culture (Travel Context),,New York,,,,,,,,,y,,,,,,,,,,,,,,,,,,,,,,,
95,Travel Tips & Advice,,,,,,,,,,,,,,,,y,,,,,,,,,,,,,,,,,,
96,Tourist Activities & Experiences,Japan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,y,,
97,Trip Planning,,,Fort Collins,,,,,,,,,y,,,,,,,,,,,,,,,,,,,,,,
98,Tourist Activities & Experiences,,,,,,,,,,y,,,,,,,,,,,,,,,,,,,,,,,,
99,Trip Planning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,Travel Tips & Advice,,,,,,,,,,,,,,,,y,,,,,,,,,,,,,,,,,,
104,Trip Planning,Japan,,,,,,,,,,,y,,,,,,,,,,,,,,,,,5 Days,,,,,
106,Tourist Activities & Experiences,,Dover,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,Transportation,,San Francisco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,Travel Tips & Advice,Italy,Gioia del Colle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,Tourist Activities & Experiences,Vietnam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,Tourist Activities & Experiences,,,,,,,,,,y,,,,,,,,,,,,,,,,,,,,,,,,
114,Tourist Activities & Experiences,,New York,,,,,,,,,,,,,,,,,,,y,,,,,,,,,,,,,
115,Tourist Activities & Experiences,South Africa,,,,,,,,,y,,,,,,,,,,,,,,,,,,,,,,,,
116,Trip Planning,,Amsterdam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,Trip Planning,Europe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,Trip Planning,,Sydney,,,,,,,,,,y,,,,,,,,,,,,,,,,,,,,,,
126,Travel Tips & Advice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127,Tourist Activities & Experiences,,,,,,,y,,,y,,,,,,,,,,,,,,,,,,,,,,,,
128,Trip Planning,,Las Vegas,,,,,y,,,,,,,,,,,,,,,,,,,,y,,7 Days,,,,,
132,Trip Planning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
133,Tourist Activities & Experiences,,,,,,,,,,y,,,,,,,,,,,,,,,,,,,,,,,,
135,Travel Tips & Advice,Mexico,Mexico City,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
138,Trip Planning,,New Jersey,Beach,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140,Travel Tips & Advice,,,,,,,,y,,,,,,,,,,,,,,,,,,,,,,,,,,
141,Trip Planning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
143,Trip Planning,Italy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
148,Places & Destinations,Spain,Pampaneira,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149,Places & Destinations,Maldives,Maldives,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150,Trip Planning,US,San Francisco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
153,Trip Planning,England,London,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
154,Travel Tips & Advice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
155,Trip Planning,,Los Angeles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
156,Places & Destinations,,Key West,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
157,Places & Destinations,,Santorini,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
159,Food & Culture (Travel Context),,New Delhi,,,,,,,,,y,y,,,,,,,,,,,,,,,,,,,,,,
163,Places & Destinations,Bali,Bali,,,,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,
165,Trip Planning,Germany,Boppard,,,,,,,,y,,,,,,,,,,,,,,y,,,,,,,,,,
166,Travel Tips & Advice,,,,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
167,Places & Destinations,Bahamas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
169,Accommodation,,,Lake,,,,,,,,,,,,,,,,,,,,y,,,,,,,,,,,
172,Trip Planning,US,New York,,,,,,,,,,,,,,,,,,,,,,,,,,,2 Days,,y,,,
183,Places & Destinations,,,National Parks,,,,,,,y,,,,,,,,,,,,,,,,,,,,,,,,
185,Tourist Activities & Experiences,,,,,,,,,,y,,,,,,,,,,,,,,,,,,,,,,,,
186,Trip Planning,Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
188,Travel Tips & Advice,,,,,,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,
189,Tourist Activities & Experiences,,,,,,,,,,y,,,,,,,,,,,,,,,,,,,,,,,,
190,Places & Destinations,US,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
196,Travel Costs & Budgeting,,,,,,,,,,,,,,,,,,,,,,,,,,y,,,,,,,,
197,Accommodation,,,,,y,,,,,,,,,,,,,,,,y,,,,,,,,,,,,,
199,Trip Planning,US,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,y,,
202,Tourist Activities & Experiences,,Amsterdam,,,,,,,,,,,,,,,,,,,,,,,,,,,2 Days,,,,,
204,Transportation,,Varanasi,,,,,,,,,,,,,,y,,y,y,,,,,,,,,,,,,,,
207,Travel Tips & Advice,,San Francisco,,,,,,,,,,,,y,,,,,,,,,,,,,,,,y,,,,
209,Transportation,Australia,,,,,,,,,,,,,,,y,,,,,,,,,,,,,,,,,,
210,Trip Planning,,Seattle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
215,Travel Tips & Advice,,,,,,,,,,,,,,,,y,,,,,,,,,,,,,,,,,,
218,Trip Planning,,,,,,,,,,y,,,,,,,,y,,,y,,,,,y,,,4 Days,,,,,
222,Places & Destinations,US,,,,,,,,,,,,,,,,,y,,,,,,,,,,,14 Days,,,,,
224,Transportation,US,Philadelphia,,,,,,,,,,,,,,,,,y,,,,,,,,,,,,,,,
225,Trip Planning,Romania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
232,Transportation,US,Dallas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
233,Tourist Activities & Experiences,US,Tiburon,,,,,,,,y,,,,,,,,,,,,,,,,,,,,,,,,
239,Tourist Activities & Experiences,US,San Francisco,Bay Area,,,,,,,y,,,,,,,,,,,,,,,,,,,,,,,,
241,Places & Destinations,Japan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
242,Transportation,Japan,,,,,,,,,,,,,,,,,,y,,,,,,,,,,,,,,,
